Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,3521418060,20497128556,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14266499430,14502158192,..
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2028553750,3480355258,13228147516,11386853113,11861199831,13019726212,15156424015,15401826127,15162734205,17930565119,18916378861,22977677861
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62048507531,54790398570,2.38943E+11,1.87494E+11,1.80764E+11,1.89881E+11,1.94554E+11,1.9346E+11,1.64873E+11,1.86265E+11,2.2556E+11,2.39899E+11
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1028989692,1432606189,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324683012,3380602043,3727673593
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,..,9129594970,1.35967E+11,90496420507,52761617226,73690154991,79450688259,70897962732,48501561204,66505129988,1.044E+11,84722957642
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,478692592.6,900551851.9,1378829630,1437755556,1489692593,1531151852,1661529630,1725351852,1410796296,1601366667,1867733333,2033085185
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,1.41353E+11,2.84204E+11,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.85741E+11,4.87903E+11,6.31133E+11,6.40591E+11
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256863449,1911563669,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513474648,24212134631
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,764804469.3,1873452514,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2558906304,3103184102,3544707788,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,3.11421E+11,4.16168E+11,1.4686E+12,1.35177E+12,1.20758E+12,1.32688E+12,1.42973E+12,1.39467E+12,1.33038E+12,1.55903E+12,1.69296E+12,1.72383E+12
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,1.66463E+11,1.9729E+11,4.42585E+11,3.81971E+11,3.95837E+11,4.17261E+11,4.54991E+11,4.44596E+11,4.35049E+11,4.79295E+11,4.70942E+11,5.16034E+11
